title,author,length
Las penas del joven Werther,J. W. Goethe
De ratones y hombres,John Steinbeck
Crimen y castigo,Fiodor Dostoievski
Oliver Twist,Charles Dickens
Trampa 22,Joseph Heller
Stoner,John Williams
Adiós a las armas,Ernest Hemingway
El crepúsculo de los ídolos,Friedrich Nietzsche
20.000 leguas de viaje submarino,Julio Verne
El señor de los anillos,J.R.R. Tolkien
Los cinco,Enid Blyton
Saga Harry Potter,J.K. Rowling
Torres de Malory,Enid Blyton
Al este del Edén,John Steinbeck
Alicia en el País de las Maravillas,Lewis Carroll
Matar a un ruiseñor,Harper Lee
El señor de las moscas,William Golding
Orgullo y prejuicio,Jane Austen
Cumbres borrascosas,Emily Brontë
Don Quijote,Miguel de Cervantes,muy largo
Ulysses,James Joyce,muy largo
El diario de Ana Frank,Ana Frank
Anna Karenina,Leon Tolstoi
En el camino,Jack Kerouac
La guerra de los mundos,H.G. Wells
Alguien voló sobre el nido del cuco,Ken Kesey
Las mil y una noches,,muy largo
Robinson Crusoe,Daniel Defoe
Los viajes de Gulliver,Jonathan Swift
La Divina Comedia,Dante Alighieri,muy largo
Notre Dame de París,Victor Hugo
Madame Bovary,Gustave Flaubert
Manhattan Transfer,John Dos Passos
Las uvas de la ira,John Steinbeck
En busca del tiempo perdido,Marcel Proust,muy largo
Viaje al centro de la Tierra,Julio Verne
El mago de Oz,L. Frank Baum
Los miserables,Victor Hugo,muy largo
La Celestina,Francisco de Rojas
La historia interminable,Michael Ende
La elegancia del erizo,Muriel Barbery
Cien años de soledad,Gabriel García Márquez
La senda del perdedor,Charles Bukowski
Leyendas,Gustavo Adolfo Bécquer
Memorias de Idhún,Laura Gallego García
Bel Ami,Guy de Maupassant
Ilusiones,Richard Bach
Mujercitas,Louisa May Alcott
Marianela,Benito Pérez Galdós
El Cantar de Mio Cid,
La campana de cristal,Sylvia Plath
Moby Dick,Herman Melville
Historia de una escalera,Antonio Buero Vallejo
El curioso incidente del perro a medianoche,Mark Haddon
Las aventuras de Huckleberry Finn,Mark Twain
La isla del tesoro,Robert Louis Stevenson
La letra escarlata,Nathaniel Hawthorne
El llano en llamas,Juan Rulfo
Miedo y asco en Las Vegas,Hunter S. Thompson
Entrevista con el vampiro,Anne Rice
Lolita,Vladimir Nabokov
La naranja mecánica,Anthony Burgess
Pippi Calzaslargas,Astrid Lindgren
Rojo y negro,Stendhal
Trainspotting,Irvine Welsh
La fundación,Isaac Asimov
Los tres mosqueteros,Alejandro Dumas
La Metamorfosis,Ovidio
Colmillo Blanco,Jack London
Don Juan Tenorio,José Zorrilla
Las peregrinaciones de Childe Harold,Lord Byron
Episodios nacionales,Benito Pérez Galdós,muy largo
David Copperfield,Charles Dickens
Los cuentos de Edgar Allan Poe,
Fortunata y Jacinta,Benito Pérez Galdós,muy largo
La dama de las camelias,Alexandre Dumas
Otra vuelta de tuerca,Henry James
