title,author
Los 7 hábitos de la gente altamente efectiva,Stephen Covey 
Cómo ganar amigos e influir sobre las personas,Dale Carnegie
Atomic Habits (Hábitos atómicos),James Clear
El poder de los hábitos,Charles Duhigg
La semana laboral de 4 horas,Timothy Ferriss
Mindset: La actitud del éxito,Carol S. Dweck
Piense y hágase rico,Napoleon Hill
El monje que vendió su Ferrari,Robin Sharma
Grit: El poder de la pasión y la perseverancia,Angela Duckworth
Deep Work (Trabajo profundo),Cal Newport
Fluir (Flow): Una psicología de la felicidad,Mihály Csíkszentmihályi
Coaching: El arte de soplar brasas,Leonardo Wolk
Ikigai: Los secretos de Japón para una vida larga y feliz,Héctor García y Francesc Miralles
El elemento,Ken Robinson
Reinventarse: Tu segunda oportunidad,Mario Alonso Puig
